	1B	1N	2B	2N	3B	3N	4B	4N	5B	5N	6B	6N	7B	7N	8B	8N
isogroup124431_g1	24	14	2	25	1	1	0	0	4	6	0	20	16	9	177	32	
isogroup124474_g1	5	2	0	1	1	0	0	0	0	3	7	4	4	3	42	6	
isogroup1244_g1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup124523_g1	0	2	0	1	0	0	0	0	1	1	0	0	0	0	3	0	
isogroup12455_g1	5	11	15	2	1	2	0	0	9	6	1	5	8	6	40	5	
isogroup124574_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	
isogroup124581_g1	3	0	0	0	0	0	0	0	0	1	0	0	0	5	7	0	
isogroup124583_g1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	2	3	
isogroup124616_g1	9	5	4	8	0	14	1	0	0	1	1	32	8	5	2	0	
isogroup124639_g1	9	11	8	23	3	14	3	0	3	6	3	16	15	11	58	12	
isogroup12477_g1	2	1	0	0	0	21	0	0	0	2	0	1	0	0	4	0	
isogroup124790_g1	2	0	0	0	1	1	1	0	0	1	1	1	1	2	15	0	
isogroup124827_g1	3	0	0	0	0	1	0	0	0	0	0	6	0	0	7	2	
isogroup124831_g1	0	9	0	7	0	0	0	0	0	0	3	0	16	4	23	4	
isogroup124899_g1	30	10	0	0	0	33	2	0	2	0	0	0	62	33	0	0	
isogroup124902_g1	0	0	2	1	0	1	0	0	1	0	0	0	0	0	6	0	
isogroup124947_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroup124955_g1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	3	0	
isogroup124990_g1	9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	
isogroup124993_g1	2	4	0	5	0	0	0	0	0	0	0	4	9	2	5	4	
isogroup125006_g1	0	0	0	1	0	0	0	0	0	0	0	0	10	1	0	0	
isogroup125015_g1	4	5	1	0	0	1	2	0	0	0	0	0	3	2	2	0	
isogroup125037_g1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup12508_g1	256	333	160	221	48	254	65	0	130	165	55	156	590	310	3170	378	
isogroup125090_g1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	7	1	
isogroup125148_g1	3	10	0	0	0	0	0	0	0	0	0	1	3	0	4	0	
isogroup125314_g1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
isogroup125363_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
isogroup125384_g1	0	0	0	0	0	0	4	0	0	0	0	5	2	0	0	1	
isogroup1253_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	
isogroup12540_g1	1	2	0	0	5	3	0	0	3	1	0	0	0	1	28	6	
isogroup125414_g1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup125434_g1	6	10	4	3	0	6	0	0	5	16	0	37	11	3	32	4	
isogroup12548_g1	43	74	13	11	1	8	13	0	4	18	0	1	51	20	131	11	
isogroup12553_g1	2	0	3	0	0	1	0	0	0	2	1	1	4	1	0	0	
isogroup12559_g1	1	6	1	0	0	0	0	0	1	9	0	5	4	3	30	5	
isogroup1255_g1	2	10	13	7	0	10	0	0	0	7	1	19	21	2	72	9	
isogroup125747_g1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	
isogroup12574_g1	1	2	1	5	0	0	4	0	5	0	0	2	5	0	9	1	
isogroup125774_g1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	
isogroup12585_g1	37	38	22	20	5	14	0	0	2	4	4	2	22	5	147	21	
isogroup125897_g1	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	
isogroup1258_g1	0	2	0	3	1	0	2	0	1	0	0	8	6	0	17	1	
isogroup125950_g1	2	2	6	1	0	0	0	0	0	0	0	6	0	0	60	9	
isogroup12599_g1	0	0	33	4	22	120	1	0	7	0	2	9	0	0	12	2	
isogroup126017_g1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	
isogroup126026_g1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
isogroup126094_g1	0	1	0	0	0	0	0	0	0	0	0	0	3	0	5	0	
isogroup126130_g1	0	0	0	0	1	2	2	0	0	0	0	2	0	1	9	4	
isogroup126142_g1	0	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	
isogroup126213_g1	0	4	0	0	1	0	0	0	0	0	0	1	3	0	18	0	
isogroup126284_g1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	9	0	
isogroup126336_g1	0	1	36	16	1	4	0	0	16	55	0	17	97	83	307	110	
isogroup126388_g1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
isogroup126401_g1	24	29	4	10	0	0	0	0	1	0	1	8	101	36	170	22	
isogroup12641_g1	0	0	1	0	0	11	3	0	3	4	2	1	5	0	14	0	
isogroup126518_g1	0	0	0	0	1	1	0	0	2	0	0	2	3	4	1	0	
isogroup126533_g1	18	38	15	8	0	10	1	0	9	14	2	24	34	30	146	35	
isogroup126600_g1	10	3	0	0	0	0	0	0	0	4	0	0	1	0	17	0	
isogroup126609_g1	0	0	0	0	0	0	0	0	0	1	0	0	1	2	2	3	
isogroup126646_g1	1	2	3	0	0	0	0	0	0	0	0	4	2	0	15	10	
isogroup126699_g1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup12671_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	
isogroup126813_g1	7	5	9	2	1	9	0	0	1	8	1	0	2	2	36	9	
isogroup126922_g1	1	2	0	0	0	0	0	0	0	1	0	0	6	1	1	3	
isogroup127048_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroup127155_g1	1	3	0	0	0	4	0	0	1	0	0	0	0	0	17	1	
isogroup12717_g1	6	3	0	0	0	5	0	0	0	1	0	4	0	5	10	1	
isogroup12722_g1	194	326	8	8	0	10	3	0	0	0	0	0	464	180	1453	204	
isogroup12729_g1	2	4	4	0	2	4	0	0	3	2	8	12	14	2	37	3	
isogroup127310_g1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	3	0	
isogroup127360_g1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup127419_g1	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	
isogroup12744_g1	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	
isogroup12744_g2	8	13	4	12	0	7	2	0	3	2	2	12	11	4	30	3	
isogroup127614_g1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	
isogroup127615_g1	4	1	9	2	1	0	0	0	1	1	0	0	2	0	5	1	
isogroup12765_g1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	
isogroup12779_g1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	5	2	
isogroup127932_g1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	7	0	
isogroup128019_g1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	
isogroup12803_g1	1	5	0	0	0	0	1	0	0	0	0	1	0	0	18	1	
isogroup128063_g1	0	0	4	9	0	2	0	0	0	0	1	2	0	0	0	0	
isogroup128077_g1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	4	0	
isogroup128123_g1	1	1	0	0	0	0	0	0	0	0	0	0	12	5	1	0	
isogroup128230_g1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	13	0	
isogroup128260_g1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	
isogroup12828_g1	1	3	0	0	1	0	0	0	1	8	0	0	3	0	2	0	
isogroup12829_g1	1	0	0	0	0	0	2	0	1	0	0	1	3	0	10	0	
isogroup12830_g1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	10	0	
isogroup1283_g1	1	2	0	25	0	0	0	0	0	0	1	4	5	2	3	2	
isogroup128402_g1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup128579_g1	0	0	11	6	0	0	0	0	12	4	1	17	0	0	2	0	
isogroup128897_g1	3	6	2	0	2	4	0	0	0	3	0	2	6	2	10	0	
isogroup12893_g1	0	2	0	0	0	0	0	0	3	0	0	1	8	1	11	1	
isogroup12897_g1	0	1	0	0	0	0	0	0	0	0	0	0	9	1	0	2	
isogroup128_g1	4	1	8	0	0	11	0	0	5	2	0	3	13	4	8	0	
isogroup129152_g1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	6	4	
isogroup129158_g1	2	1	1	0	0	0	0	0	0	8	0	7	0	1	4	2	
isogroup12915_g1	19	14	0	0	0	6	2	0	4	4	0	1	22	2	86	8	
isogroup129306_g1	0	0	0	0	0	3	0	0	2	6	0	3	3	2	13	3	
isogroup12940_g1	22	35	33	29	20	83	8	0	33	79	16	67	310	55	716	92	
isogroup129461_g1	1	0	0	1	0	0	0	0	1	0	0	12	0	0	4	0	
isogroup12949_g1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	
isogroup1294_g1	0	1	0	0	0	1	0	0	0	0	2	1	2	0	9	3	
isogroup12952_g1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	
isogroup12956_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
isogroup12961_g1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	
isogroup12966_g1	3	4	0	0	6	0	0	0	3	5	1	3	8	3	23	3	
isogroup129754_g1	4	3	0	0	0	0	0	0	0	0	0	0	37	3	3	3	
isogroup12977_g1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	
isogroup129808_g1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup12984_g1	1	0	1	6	0	6	0	0	2	4	2	5	11	3	22	3	
isogroup12989_g1	1	6	0	0	0	0	0	0	0	0	0	0	4	0	8	2	
isogroup129950_g1	10	27	0	0	0	6	0	0	0	12	0	1	10	18	88	20	
isogroup13002_g1	9	8	1	2	3	34	1	0	6	17	3	15	28	5	126	19	
isogroup130069_g1	2	0	1	0	2	1	0	0	0	0	0	0	2	0	13	0	
isogroup13006_g1	0	1	2	6	2	0	0	0	5	2	0	5	50	10	47	2	
isogroup13012_g1	0	0	0	2	3	3	2	0	3	2	0	3	9	1	78	3	
isogroup13013_g1	68	45	14	19	10	60	9	0	19	18	6	48	121	40	357	65	
isogroup13028_g1	109	99	3	4	6	32	7	0	10	27	2	31	305	80	563	128	
isogroup13038_g1	2	8	3	12	0	18	0	0	0	1	2	2	5	3	30	5	
isogroup13062_g1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	
isogroup13065_g1	0	0	0	0	0	0	1	0	1	2	0	1	1	0	0	0	
isogroup13071_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	
isogroup13072_g1	3	0	5	2	0	22	0	0	0	0	0	3	4	0	42	1	
isogroup130746_g1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	4	0	
isogroup13085_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	
isogroup13099_g1	656	756	454	391	124	683	44	0	254	446	96	711	2058	743	3782	602	
isogroup1309_g1	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	
isogroup13102_g2	0	5	0	0	0	2	0	0	0	1	0	0	9	7	55	6	
isogroup131100_g1	1	5	0	0	0	0	0	0	0	0	0	0	0	0	5	2	
isogroup13119_g2	9	11	2	0	0	1	0	0	0	0	1	1	3	2	14	5	
isogroup1311_g2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
isogroup13130_g1	1	3	0	7	9	1	1	0	5	1	0	1	9	1	38	2	
isogroup13134_g1	8	3	3	3	2	0	0	0	0	0	0	0	5	2	38	9	
isogroup13135_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	
isogroup13138_g1	0	1	1	0	0	1	0	0	1	0	0	0	3	0	12	0	
isogroup13138_g2	0	0	0	0	0	1	0	0	0	3	0	0	10	0	9	0	
isogroup13141_g1	0	0	0	0	0	17	0	0	0	0	0	0	0	0	16	8	
isogroup13142_g1	6	4	0	17	2	1	0	0	0	0	0	2	4	5	18	6	
isogroup13149_g1	1	5	0	0	0	8	0	0	1	0	0	0	6	0	31	5	
isogroup1314_g2	7	5	2	4	12	1	6	0	0	6	0	0	1	2	12	1	
isogroup13154_g1	0	0	1	4	0	2	1	0	3	3	1	3	2	0	14	1	
isogroup13154_g2	0	0	2	0	0	15	0	0	0	9	3	4	0	0	6	4	
isogroup131594_g1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup13171_g1	2	4	1	4	0	9	0	0	4	0	0	7	1	0	8	5	
isogroup1317_g1	0	0	0	0	0	0	0	0	0	0	0	2	2	0	2	0	
isogroup13190_g2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	
isogroup13197_g1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
isogroup13204_g1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	
isogroup13207_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	
isogroup13223_g1	19	5	7	0	0	7	0	0	2	11	1	8	7	10	83	11	
isogroup13231_g1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup1324_g1	0	1	0	0	4	0	0	0	0	0	0	0	0	0	2	0	
isogroup13260_g1	1	0	4	0	0	1	3	0	0	3	0	0	1	2	2	0	
isogroup13273_g1	10	13	4	5	4	42	1	0	2	4	6	21	24	6	106	13	
isogroup13277_g1	1	4	0	0	1	0	1	0	0	2	0	3	2	5	28	5	
isogroup13280_g1	14	20	5	1	0	0	0	0	0	0	0	0	27	12	126	11	
isogroup13282_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	1	
isogroup13283_g1	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
isogroup13284_g1	5	2	0	0	0	4	0	0	0	3	0	0	3	7	22	4	
isogroup132944_g1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
isogroup132956_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroup132970_g1	0	1	0	0	0	0	0	0	0	0	0	6	0	3	9	0	
isogroup132981_g1	21	30	25	28	12	17	1	0	6	50	16	58	80	25	77	11	
isogroup133031_g1	0	0	1	0	0	24	0	0	2	0	0	0	0	0	0	0	
isogroup133037_g1	0	0	7	0	0	0	0	0	0	0	2	7	0	0	22	0	
isogroup133095_g1	42	20	0	0	0	0	0	0	0	0	0	0	0	3	73	10	
isogroup133096_g1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
isogroup13311_g1	13	13	0	5	1	0	0	1	5	13	0	1	29	8	71	11	
isogroup133133_g1	0	0	3	20	2	0	0	0	2	0	0	1	11	5	9	2	
isogroup133141_g1	0	5	0	0	0	0	0	0	0	1	0	0	0	3	0	0	
isogroup133145_g1	0	0	0	0	0	0	0	0	0	0	0	0	12	0	5	0	
isogroup13320_g1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3	0	
isogroup133342_g1	0	1	0	0	0	0	2	0	3	0	0	0	3	0	51	9	
isogroup13334_g1	0	2	0	0	0	0	0	0	0	0	0	0	5	6	2	0	
isogroup133384_g1	5	8	6	3	5	3	0	0	4	8	0	0	18	3	43	2	
isogroup133437_g1	51	31	25	21	10	43	3	0	2	1	0	20	54	32	12	0	
isogroup133459_g1	2	1	0	0	0	2	0	0	4	12	0	1	0	2	5	2	
isogroup133477_g1	24	31	9	6	3	27	4	1	20	11	6	7	63	12	111	21	
isogroup133491_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroup1334_g1	0	0	0	1	0	0	0	0	0	5	0	0	2	0	5	5	
isogroup133537_g1	48	53	6	14	8	24	6	0	10	28	3	9	27	15	246	56	
isogroup133567_g1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	
isogroup13356_g1	0	0	2	0	0	6	0	0	0	0	0	2	0	2	2	0	
isogroup133600_g1	0	2	0	0	2	0	0	0	0	0	0	0	3	0	6	1	
isogroup13360_g1	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	
isogroup133618_g1	0	1	0	0	0	0	1	0	0	0	0	1	6	0	21	6	
isogroup13361_g1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	4	0	
isogroup133636_g1	0	3	1	0	0	0	0	0	2	4	2	8	14	3	72	8	
isogroup133678_g1	27	21	25	27	0	40	0	0	3	24	3	38	49	19	121	17	
isogroup133701_g1	23	4	2	0	0	0	1	0	2	6	0	1	44	8	13	10	
isogroup133717_g1	27	19	4	2	2	28	0	0	2	7	5	0	20	14	164	35	
isogroup133731_g1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
isogroup133736_g1	31	14	0	0	2	25	0	0	0	0	1	9	0	0	416	63	
isogroup133739_g1	9	13	13	9	1	37	0	0	0	1	0	7	10	7	25	4	
isogroup133758_g1	0	1	0	0	0	0	0	0	0	0	0	0	1	2	7	0	
isogroup133764_g1	0	6	0	0	0	0	0	0	3	0	0	0	0	0	1	0	
isogroup133783_g1	1	5	0	0	0	0	0	0	0	0	0	0	0	0	6	1	
isogroup133803_g1	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	
isogroup133809_g1	3	0	0	1	0	1	0	0	0	2	1	4	5	2	3	1	
isogroup13381_g1	2	2	1	0	3	4	0	0	8	27	2	24	11	1	75	9	
isogroup13382_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	
isogroup133842_g1	2	1	0	0	0	1	0	1	0	0	0	2	0	0	9	0	
isogroup133881_g1	0	0	0	0	3	4	1	0	4	17	0	7	20	0	5	2	
isogroup133885_g1	2	1	2	0	2	2	0	0	4	4	0	2	6	2	39	1	
isogroup133929_g1	0	7	1	0	0	14	1	0	2	2	1	11	2	1	6	0	
isogroup133971_g1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	
isogroup133992_g1	0	7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
isogroup133998_g1	14	27	22	1	0	0	0	0	5	5	0	0	0	0	177	53	
isogroup134007_g1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup134033_g1	1	0	0	1	0	0	1	0	2	1	1	6	9	1	111	12	
isogroup13405_g1	22	26	25	1	3	27	0	0	1	12	0	11	53	12	77	18	
isogroup134080_g1	11	9	1	1	0	0	1	0	3	6	1	1	23	4	36	9	
isogroup134096_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroup134103_g1	1	0	0	0	0	0	0	0	0	0	0	1	9	4	18	4	
isogroup134157_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroup134215_g1	0	0	0	0	1	0	0	0	2	0	1	9	0	0	1	3	
isogroup134219_g1	2	5	1	9	0	0	0	0	0	0	0	0	1	0	4	0	
isogroup134264_g1	42	93	12	32	18	30	9	0	34	61	7	94	195	64	230	71	
isogroup13426_g1	5	12	1	0	0	0	2	0	0	0	0	4	10	11	27	5	
isogroup134281_g1	10	11	5	11	3	5	0	0	1	21	8	12	25	12	84	22	
isogroup134306_g1	1	7	1	9	2	32	0	0	2	14	2	12	17	10	41	17	
isogroup134320_g1	0	4	0	0	1	7	0	0	0	0	0	11	3	2	0	2	
isogroup134336_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	
isogroup134358_g1	0	3	0	0	1	0	0	0	0	0	0	0	0	0	1	0	
isogroup134369_g1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	
isogroup13437_g1	192	321	176	167	48	270	55	0	60	152	26	169	370	189	1638	228	
isogroup134407_g1	7	3	2	1	0	4	2	0	3	3	2	5	2	0	23	0	
isogroup134420_g1	0	1	0	2	0	0	5	0	3	0	0	2	2	0	1	0	
isogroup13451_g1	67	56	8	2	3	17	4	0	7	17	3	39	115	35	329	57	
isogroup13451_g2	92	57	6	4	12	45	5	0	18	18	11	13	129	42	291	33	
isogroup134521_g1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	
isogroup134524_g1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	3	0	
isogroup134532_g1	0	0	0	4	0	0	1	0	0	0	2	0	3	0	22	2	
isogroup134539_g1	0	2	0	1	0	0	0	0	3	0	0	0	0	0	1	0	
isogroup134544_g1	5	4	0	1	0	0	1	0	0	0	0	0	1	2	39	10	
isogroup134546_g1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	
isogroup134552_g1	1	1	0	0	0	0	0	0	0	0	0	0	0	3	10	0	
isogroup134567_g1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup134605_g1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	7	0	
isogroup13460_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	
isogroup134694_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	
isogroup134697_g1	4	5	0	0	0	0	0	0	2	4	0	5	2	5	40	10	
isogroup13470_g1	36	40	29	8	2	9	1	0	8	32	2	18	95	37	231	41	
isogroup134734_g1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
isogroup134738_g1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	
isogroup134792_g1	0	0	0	0	1	1	0	0	3	3	0	0	0	0	1	0	
isogroup134797_g1	6	3	0	0	1	0	0	0	0	0	0	0	1	1	9	6	
isogroup134798_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	
isogroup13482_g1	7	1	0	0	0	0	0	0	1	0	0	0	3	5	27	0	
isogroup134831_g1	24	18	23	4	7	33	3	0	0	38	2	13	6	4	63	17	
isogroup134846_g1	0	0	1	0	0	11	0	0	0	6	0	12	0	0	4	0	
isogroup134884_g1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	14	0	
isogroup134895_g1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	
isogroup134900_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	
isogroup134902_g1	7	5	0	1	0	0	1	0	2	20	0	9	22	1	61	13	
isogroup13490_g1	0	2	3	0	0	1	0	0	0	0	0	0	0	0	4	0	
isogroup13491_g1	310	426	151	171	82	522	25	2	136	229	48	284	652	272	3238	356	
isogroup134931_g1	9	7	3	0	0	0	0	0	0	0	0	0	7	4	0	0	
isogroup134947_g1	0	1	2	0	5	5	0	0	0	5	0	2	5	2	4	0	
isogroup134956_g1	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	
isogroup13495_g1	0	1	0	0	0	0	0	0	0	1	0	12	0	0	17	3	
isogroup134975_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	
isogroup13499_g1	1	0	0	0	0	2	0	0	1	5	0	3	20	10	61	12	
isogroup135021_g1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	19	0	
isogroup135038_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
isogroup135039_g1	0	1	0	0	0	0	0	0	3	0	1	1	5	3	4	2	
isogroup135069_g1	0	2	0	1	0	0	0	0	0	0	0	2	0	0	0	0	
isogroup135075_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroup135084_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	
isogroup135094_g1	5	4	0	0	2	0	0	0	0	4	0	1	13	7	23	9	
isogroup135110_g1	1	4	1	0	2	2	0	0	2	1	1	0	12	0	18	2	
isogroup135130_g1	5	7	5	14	0	34	1	0	0	0	0	5	9	12	45	4	
isogroup135155_g1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup13515_g1	0	2	0	0	1	0	0	0	1	4	0	0	1	0	8	1	
isogroup135166_g1	6	3	3	2	0	0	0	0	0	8	3	9	5	1	11	3	
isogroup135174_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	12	
isogroup13518_g1	0	0	0	1	2	16	0	0	6	4	2	1	0	0	0	0	
isogroup13521_g1	0	0	0	0	0	0	0	0	1	0	0	0	4	1	2	0	
isogroup135246_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	
isogroup135249_g1	16	29	0	0	0	16	3	0	0	0	0	9	11	1	30	8	
isogroup135259_g1	0	0	0	0	0	0	0	0	0	0	0	0	22	16	36	10	
isogroup135282_g1	10	20	10	10	0	15	4	0	5	8	0	9	22	4	115	17	
isogroup135292_g1	7	1	0	0	0	0	0	0	0	0	0	0	0	0	42	8	
isogroup1352_g1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
isogroup135332_g1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	7	0	
isogroup135337_g1	0	0	0	0	0	0	0	0	2	12	0	7	1	2	3	0	
isogroup135382_g1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
isogroup135412_g1	1	4	7	0	0	0	0	0	2	4	1	12	7	1	47	0	
isogroup135429_g1	13	5	11	3	0	21	0	0	7	2	1	6	30	6	41	15	
isogroup135439_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	
isogroup1354_g2	2	0	5	0	0	0	0	0	2	2	0	1	0	0	10	0	
isogroup135502_g1	12	38	7	8	12	10	10	0	7	31	8	48	101	21	162	17	
isogroup135509_g1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	6	0	
isogroup135525_g1	1	2	0	0	0	0	5	0	4	4	0	2	2	0	40	8	
isogroup135528_g1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	
isogroup13553_g1	3	23	0	0	1	14	0	0	2	6	4	6	18	9	161	8	
isogroup135614_g1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	
isogroup135620_g1	1	9	9	18	10	30	0	0	6	5	2	11	35	24	145	27	
isogroup135648_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroup135681_g1	0	0	4	0	0	4	0	0	0	0	0	0	0	0	3	0	
isogroup135684_g1	3	0	0	0	0	0	0	0	0	10	1	0	16	1	9	0	
isogroup135713_g1	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	
isogroup135730_g1	8	7	0	0	0	0	0	0	0	2	0	0	4	1	28	8	
isogroup135749_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	
isogroup135753_g1	3	2	2	0	0	21	0	0	0	0	0	2	0	1	4	1	
isogroup135755_g1	0	1	0	0	0	0	0	0	0	4	0	0	13	2	5	1	
isogroup135761_g1	5	3	11	2	0	0	1	0	0	2	0	0	20	8	88	14	
isogroup135791_g1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup135818_g1	2	2	3	3	0	0	0	0	3	0	1	5	3	3	28	5	
isogroup135823_g1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup135831_g1	0	0	8	0	5	6	0	0	2	0	0	0	5	0	21	1	
isogroup135834_g1	0	0	6	0	0	0	0	0	0	0	0	0	2	0	18	0	
isogroup135848_g1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	
isogroup135861_g1	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1	6	
isogroup135886_g1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
isogroup135893_g1	13	14	38	27	2	5	2	0	0	4	1	5	33	4	183	34	
isogroup135908_g1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	
isogroup135923_g1	35	64	3397	2335	196	2047	106	0	270	743	209	613	72	25	226	46	
isogroup135941_g1	3	5	36	41	3	21	1	0	0	11	0	1	9	4	27	9	
isogroup13594_g1	12	13	0	0	0	0	0	0	1	6	0	0	47	11	97	33	
isogroup135972_g1	27	26	23	21	3	39	5	0	3	17	6	29	94	33	81	23	
