	1B	1N	2B	2N	3B	3N	4B	4N	5B	5N	6B	6N	7B	7N	8B	8N
isogroup10218_g1	65	112	31	23	21	103	9	0	24	62	12	65	179	82	579	114	
isogroup102210_g1	1	0	0	0	0	0	0	0	0	0	0	0	4	1	3	4	
isogroup102238_g1	1	0	0	0	0	0	0	0	0	4	0	0	2	3	0	0	
isogroup102245_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroup102262_g1	0	0	5	0	0	0	0	0	1	0	0	0	0	0	1	0	
isogroup102293_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroup10231_g1	0	3	0	0	0	0	0	0	1	0	0	0	0	0	2	0	
isogroup102359_g1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	0	
isogroup102507_g1	1	2	0	0	0	0	0	0	1	0	0	1	2	1	1	0	
isogroup10251_g1	0	0	0	0	0	0	0	0	0	0	0	0	7	7	4	0	
isogroup102535_g1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup102615_g1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	4	0	
isogroup102631_g1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup102660_g1	0	0	0	0	0	0	0	0	0	6	0	0	2	1	0	0	
isogroup102717_g1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	
isogroup10277_g1	0	0	2	0	0	0	0	0	0	0	0	0	1	1	16	3	
isogroup102804_g1	13	3	0	0	0	0	0	0	0	0	0	0	8	1	30	0	
isogroup10280_g1	0	2	4	2	0	0	0	0	0	0	0	0	9	6	7	4	
isogroup102848_g1	20	14	0	0	0	0	1	0	0	7	0	14	3	6	52	3	
isogroup10287_g1	32	23	3	0	0	2	0	0	3	10	0	11	42	9	81	7	
isogroup10299_g1	0	1	0	0	0	3	0	0	0	0	0	0	0	0	3	0	
isogroup103056_g1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup103060_g1	0	0	0	0	0	0	0	0	2	14	0	1	0	0	0	0	
isogroup103105_g1	2	0	0	0	0	9	0	0	0	0	2	5	2	2	11	0	
isogroup103125_g1	1	0	1	0	0	0	0	0	0	5	0	0	3	1	13	0	
isogroup10312_g1	14	4	8	9	1	19	5	0	6	48	8	17	24	16	151	19	
isogroup103176_g1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	
isogroup103182_g1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	
isogroup103199_g1	3	2	0	0	0	3	0	0	0	6	0	4	5	0	2	3	
isogroup103235_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroup103246_g1	42	62	10	25	4	65	0	0	5	35	3	61	48	66	116	38	
isogroup103269_g1	0	1	1	0	0	0	0	0	0	1	0	0	8	5	3	0	
isogroup103344_g1	0	0	0	0	0	6	0	0	0	0	0	0	3	0	5	0	
isogroup10342_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	
isogroup10345_g1	114	171	59	145	19	177	11	0	49	52	9	71	422	178	1258	186	
isogroup103535_g1	0	0	0	0	0	0	0	0	1	0	0	0	5	1	21	2	
isogroup103550_g1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	
isogroup10358_g1	3	0	0	0	0	3	2	0	1	9	4	6	0	0	0	7	
isogroup103631_g1	12	1	1	0	0	0	0	0	0	0	0	8	0	1	3	3	
isogroup10368_g1	82	109	44	47	9	171	4	0	38	68	8	84	230	110	604	115	
isogroup103695_g1	0	0	1	1	0	0	0	0	0	0	0	3	0	0	2	0	
isogroup10375_g1	33	51	18	8	5	39	3	0	5	36	1	19	74	27	304	28	
isogroup103809_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	
isogroup103836_g1	5	0	9	0	0	4	0	0	5	8	1	0	4	3	21	2	
isogroup10387_g1	14	18	0	0	0	1	1	0	0	0	0	0	1	0	0	0	
isogroup103906_g1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
isogroup10393_g2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	
isogroup104085_g1	2	3	3	0	0	5	1	0	6	1	0	5	12	0	27	3	
isogroup10420_g1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	
isogroup10422_g1	0	0	0	0	0	0	0	0	2	1	0	5	12	2	20	6	
isogroup10428_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	3	
isogroup10429_g1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup104325_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	
isogroup104367_g1	4	0	0	0	0	3	0	0	0	0	0	0	5	1	5	0	
isogroup10438_g1	0	2	0	0	0	0	0	0	0	0	0	0	0	10	0	0	
isogroup10439_g1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
isogroup104421_g1	6	2	3	8	2	4	0	0	0	3	0	5	8	4	12	1	
isogroup10455_g1	0	0	0	0	0	5	0	0	0	2	0	1	0	1	1	0	
isogroup104727_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroup104812_g1	0	2	0	0	0	0	0	0	0	3	0	3	4	2	7	2	
isogroup104855_g1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
isogroup104897_g1	0	1	1	0	3	0	0	0	0	0	2	1	1	0	2	0	
isogroup104920_g1	0	1	2	0	0	0	0	0	1	3	2	2	1	0	1	0	
isogroup10496_g1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	
isogroup104999_g1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
isogroup105015_g1	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	
isogroup105044_g1	0	3	0	0	0	0	0	0	0	0	0	0	1	0	8	0	
isogroup105056_g1	0	0	0	0	0	2	0	0	0	0	0	9	1	0	4	0	
isogroup10508_g1	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup105129_g1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	19	1	
isogroup105203_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	
isogroup105256_g1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0	
