isogroup59631_g2	GO:0005737;GO:0005634;GO:0000151;GO:0008270;GO:0006915;GO:0009792;GO:0008406;GO:0008078;GO:0018996;GO:0002119;GO:0043065;GO:0016567;GO:0040034
isogroup58495_g3	GO:0005737;GO:0033588;GO:0005634;GO:0030335;GO:0006355;GO:0006351
isogroup53658_g1	GO:0012505;GO:0000139;GO:0005795;GO:0016021;GO:0030246;GO:0046872;GO:0004653;GO:0009312;GO:0006486
isogroup61599_g3	GO:0009986;GO:0005737;GO:0045121;GO:0005654;GO:0005634;GO:0072534;GO:0005578;GO:0046625;GO:0008306;GO:0030198;GO:0035641;GO:0060291;GO:0050804;GO:0030517;GO:0048692;GO:0022408;GO:0010977;GO:0050805;GO:0050885;GO:0007158;GO:0051968;GO:0051971;GO:0050808;GO:0022029
isogroup59995_g1	GO:0005829;GO:0005794;GO:0043005;GO:0005634;GO:0048471;GO:0005886;GO:0043234;GO:0008021;GO:0001540;GO:0005546;GO:0008088;GO:0007155;GO:0014051;GO:0014047;GO:0001701;GO:0006886;GO:0007626;GO:0035264;GO:0007399;GO:0007269;GO:0006461;GO:0010468;GO:0007268
isogroup51748_g1	GO:0016591;GO:0000790;GO:0003677;GO:0046975;GO:0006357;GO:0006368
isogroup58565_g1	GO:0005789;GO:0000139;GO:0016021;GO:0008375;GO:0030158;GO:0030206;GO:0030204;GO:0050650;GO:0042732;GO:0015012;GO:0030201
isogroup46058_g2	GO:0005829;GO:0030552;GO:0007283
isogroup44523_g1	GO:0052689
isogroup60160_g2	GO:0005814;GO:0005737;GO:0005794;GO:0005871;GO:0005654;GO:0005634;GO:0005524;GO:0016887;GO:0008289;GO:0008017;GO:0003777;GO:0030705;GO:0008152;GO:0007018;GO:0051225
isogroup53715_g1	GO:0035447;GO:0008080;GO:0010125
isogroup58460_g7	GO:0016020;GO:0005525;GO:0003924
isogroup57895_g2	GO:0005634;GO:0031386;GO:0008283;GO:0036099;GO:0022008;GO:0048812;GO:0045116;GO:0031647;GO:0030162;GO:0008589;GO:0051438;GO:0030431
isogroup56490_g1	GO:0030054;GO:0030864;GO:0005737;GO:0005856;GO:0016010;GO:0070062;GO:0030175;GO:0031527;GO:0030426;GO:0016020;GO:0031594;GO:0005654;GO:0005886;GO:0045211;GO:0043234;GO:0042383;GO:0003779;GO:0005178;GO:0019901;GO:0017166;GO:0008270;GO:0006936;GO:0007517;GO:0007528;GO:0001954;GO:2000649
isogroup55271_g1	GO:0031265;GO:0044297;GO:0005737;GO:0005829;GO:0031264;GO:0045121;GO:0043005;GO:0005886;GO:0097342;GO:0089720;GO:0035877;GO:0005123;GO:0042802;GO:0002020;GO:0032813;GO:0097202;GO:0006919;GO:0097296;GO:0006915;GO:0097190;GO:0007166;GO:0071260;GO:0071550;GO:0051607;GO:0097191;GO:0097192;GO:0008625;GO:0045087;GO:0048535;GO:0097049;GO:0097527;GO:0070236;GO:1902042;GO:0060546;GO:0042104;GO:0002821;GO:0043065;GO:2000454;GO:2001238;GO:1902043;GO:0043123;GO:0032729;GO:0032757;GO:0045651;GO:0045862;GO:0001916;GO:0045944;GO:0032760;GO:0060340;GO:0051291;GO:1902041;GO:0048536;GO:0033077;GO:0043029;GO:0048538;GO:0036462;GO:0035666;GO:0016032
isogroup48137_g1	GO:0005694;GO:0005829;GO:0005634;GO:0051301;GO:0007076
isogroup52535_g1	GO:0005663;GO:0005634;GO:0005524;GO:0003677;GO:0006261
isogroup49389_g1	GO:0005576;GO:0004869
isogroup47446_g1	GO:0003964
isogroup61788_g1	GO:1990483;GO:0031618;GO:0005634;GO:0033698;GO:0032221;GO:0001106;GO:0007049;GO:0051301;GO:0006338;GO:0030702;GO:0016575;GO:0000122;GO:0006351
isogroup196280_g1	GO:0005737;GO:0008757;GO:0032259
isogroup52943_g2	GO:0005604;GO:0005694;GO:0005615;GO:0016020;GO:0005634;GO:0005507;GO:0070492;GO:0004720;GO:0005044;GO:0006464;GO:0016568;GO:0030199;GO:0043542;GO:0001935;GO:0001837;GO:0045892;GO:0032332;GO:0046688;GO:0001666;GO:0002040;GO:0006351
isogroup56367_g1	GO:0005634
isogroup60725_g1	GO:0005634;GO:0046872;GO:0044822
isogroup43254_g1	GO:0005634;GO:0043565;GO:0006629;GO:0050877;GO:0043467;GO:0010906;GO:0006355
isogroup47351_g1	GO:0005634;GO:0003677;GO:0043565;GO:0003700;GO:0007498;GO:0007275;GO:0045893;GO:0006355;GO:0006351
isogroup48772_g1	GO:0031307;GO:0005741;GO:0005742;GO:0005739;GO:0008320;GO:0016236;GO:0098779;GO:1903955;GO:0030150;GO:0045040;GO:0006626;GO:0031647
isogroup41540_g1	GO:0005634;GO:0003677;GO:0014029;GO:0006355;GO:0006351
isogroup31548_g1	GO:0005788;GO:0070062;GO:0005795;GO:0004065;GO:0046872;GO:0006687;GO:0043687;GO:0001501
isogroup48790_g1	GO:0070062;GO:0005925;GO:0005887;GO:0005886;GO:0005524;GO:0005518;GO:0038062;GO:0004714;GO:0031214;GO:0007155;GO:0035988;GO:0030199;GO:0038063;GO:0003416;GO:0030198;GO:0001503;GO:0018108;GO:0090091;GO:0010763;GO:0048146;GO:0045669;GO:0045860;GO:0051091;GO:0046777;GO:0030500;GO:0010715;GO:0007165
isogroup60024_g2	GO:0005929;GO:0072372;GO:0060271;GO:0090090;GO:2000095;GO:0016055
isogroup77292_g1	GO:0031410;GO:0016021;GO:0005886;GO:0005509;GO:0004930;GO:0007166;GO:0007186
isogroup62429_g1	GO:0005737;GO:0005768;GO:0010008;GO:0016021;GO:0003725;GO:0042803;GO:0019843;GO:0098542;GO:0006954;GO:0045087;GO:0002755;GO:0043408;GO:0009615;GO:0034178
isogroup59946_g1	GO:0009986;GO:0030136;GO:0005905;GO:0016023;GO:0005829;GO:0030425;GO:0005769;GO:0005789;GO:0010008;GO:0005794;GO:0032580;GO:0016021;GO:0005765;GO:0043025;GO:0031965;GO:0048471;GO:0005886;GO:0030140;GO:0019899;GO:0048406;GO:0010465;GO:0030379;GO:0006897;GO:0008333;GO:0032509;GO:0008625;GO:0007186;GO:0046323;GO:0006895;GO:0007275;GO:0014902;GO:0045599;GO:0051005;GO:0007218;GO:0048011;GO:0001503;GO:0048227;GO:1904037;GO:0010468;GO:0032868;GO:0016050
isogroup198908_g1	GO:0004190;GO:0004519;GO:0003676;GO:0003964;GO:0008270;GO:0015074
isogroup58457_g4	GO:0031225;GO:0005886;GO:0007155;GO:0035641;GO:0007399
isogroup15938_g1	GO:0005887;GO:0005622;GO:0005886;GO:0032421;GO:0005262;GO:0015278;GO:0015267;GO:0097604;GO:0070588;GO:0007166;GO:0050968;GO:0050966;GO:0006811;GO:0051289;GO:0009409;GO:0042493;GO:0042542;GO:0014070;GO:0010033;GO:0048265;GO:0019233;GO:0050955
isogroup59994_g1	GO:0032580;GO:0016021;GO:0001733;GO:0009247
isogroup58442_g1	GO:0005783;GO:0005576;GO:0016020;GO:0043843;GO:0046872;GO:0006096
isogroup61495_g5	
isogroup62936_g2	GO:0005783;GO:0005615;GO:0005794;GO:0048471;GO:0043234;GO:0043168;GO:0052689;GO:0042446;GO:0015705;GO:0031641;GO:0032496;GO:0009268;GO:0030878;GO:0006590;GO:0042403;GO:0045056
isogroup196271_g1	GO:0000139;GO:0016021;GO:0008459;GO:0001517;GO:0050698;GO:0005975;GO:0030206;GO:0098779;GO:0002230;GO:0006790;GO:0043029;GO:0098792
isogroup57458_g1	GO:0005576
isogroup50291_g1	GO:0005783;GO:0005789;GO:0016021;GO:0070780;GO:0042392;GO:0030148;GO:0006670
isogroup60249_g2	GO:0016021;GO:0103073;GO:0016884
isogroup60375_g1	GO:0042641;GO:0005524;GO:0005525;GO:0004721;GO:0004674;GO:0000281;GO:0006470;GO:0007264;GO:0035176
isogroup127584_g1	GO:0005737;GO:0070062;GO:0016020;GO:0070290;GO:0008270;GO:0009395
isogroup54074_g1	GO:0005783;GO:0005811;GO:0016298;GO:0019915
isogroup57949_g2	GO:0030529;GO:0016020;GO:0005849;GO:0005634;GO:0042382;GO:0003729;GO:0000166;GO:0006378;GO:0051262
isogroup58898_g2	GO:0030673;GO:0009986;GO:0070062;GO:0016021;GO:0005886;GO:0042802;GO:0007411;GO:0016199;GO:0007420;GO:0007156;GO:0001656;GO:0050925;GO:0021891;GO:0050772;GO:0031290;GO:0035385;GO:0001657
