X,X1B,X1N,X2B,X2N,X3B,X3N,X5B,X5N,X6B,X6N,X7B,X7N,X8B,X8N,fitPatch,adjp.p,pval.p,adjp.g,pval.g,adjp.pc1,pval.pc1,direction,pval,binary
isogroup100397_g1,4.5581975814583,3.79936497857006,3.79936497857006,3.79936497857006,3.79936497857006,3.79936497857006,3.79936497857006,3.79936497857006,3.79936497857006,3.79936497857006,4.1948260274124,3.79936497857006,3.92900997125111,3.79936497857006,33.6305308011304,0.0701487034050071,0.00129882044748997,0.035288515263712,0.0124125754087118,NA,NA,1,2.88645084940319,1
isogroup100494_g1,3.79936497857006,3.79936497857006,4.88672985808531,3.79936497857006,3.79936497857006,3.79936497857006,3.79936497857006,3.79936497857006,3.79936497857006,3.79936497857006,3.79936497857006,3.79936497857006,4.28235661502438,3.79936497857006,32.1193944132211,0.041335956146026,0.000584511973783841,0.000110086346653132,1.62478302174751e-05,0.884789993179651,0.106474281287106,1,3.23320651354655,1
isogroup101940_g1,6.58471495861733,6.79762805183218,6.78629786523723,7.69005801612763,5.51413969418408,7.39215799514339,5.56093745858798,6.93381888646926,5.4693284986816,7.55707791741157,6.12908556698533,7.40542662744602,6.52904331312166,7.06204440050203,-1.50779057488317,0.00853805327568842,5.52918773262245e-05,0.847512485615553,0.787591143283035,0.424952178162856,0.00235398500435291,-1,-4.25733787874433,1
isogroup102262_g1,3.79936497857006,3.79936497857006,4.79573130489777,3.79936497857006,3.79936497857006,3.79936497857006,4.38759590782054,3.79936497857006,3.79936497857006,3.79936497857006,3.79936497857006,3.79936497857006,3.92900997125111,3.79936497857006,36.441883785847,0.0998911516115921,0.00253810924333475,0.00215990065725518,0.000468660550880684,0.884789993179651,0.244650508607335,1,2.59548967216093,1
isogroup103246_g1,5.8476826842682,5.99127445209579,5.18297290285899,5.99669460793347,5.22467991452133,6.14564129453465,5.08123440047838,5.86071300574988,5.26398885770717,6.20455364435547,5.3154379179417,6.46064671749704,5.14665927061924,5.65187550703575,-1.26086918060291,0.00199034172773226,6.77226305945133e-06,0.358899900222486,0.237543203956359,0.264366036056445,0.000948279915022665,-1,-5.16925976785639,1
isogroup10438_g1,3.79936497857006,4.23041015344035,3.79936497857006,3.79936497857006,3.79936497857006,3.79936497857006,3.79936497857006,3.79936497857006,3.79936497857006,3.79936497857006,3.79936497857006,4.95719190085677,3.79936497857006,3.79936497857006,-37.5364372421315,8.5632228979371e-05,9.46003413382357e-08,7.28516095562808e-05,1.02275547309016e-05,0.0965931561239516,0.000179818352755268,-1,-7.02364845562138,1
isogroup109976_g1,3.79936497857006,4.47719338540277,3.79936497857006,3.79936497857006,3.79936497857006,3.79936497857006,3.79936497857006,3.79936497857006,3.79936497857006,3.79936497857006,3.79936497857006,4.17435081715222,3.79936497857006,4.12029517204685,-38.1037232796089,0.0339638964536669,0.000430739650119416,0.0548598436568735,0.0212675832258838,0.884789993179651,0.0883270354747954,-1,-3.36578504822594,1
isogroup11021_g1,3.79936497857006,3.79936497857006,3.79936497857006,3.79936497857006,3.79936497857006,3.79936497857006,3.79936497857006,3.79936497857006,3.79936497857006,3.79936497857006,3.79936497857006,3.79936497857006,3.79936497857006,4.43733875251083,-36.4363605999442,0.00992883884431509,7.28319597064209e-05,0.503966701143498,0.376898976383517,0.884789993179651,0.0276426691064289,-1,-4.13767740793006,1
isogroup111904_g1,4.62877066218837,3.79936497857006,4.57712422068147,3.79936497857006,3.79936497857006,3.79936497857006,3.79936497857006,3.79936497857006,3.79936497857006,3.79936497857006,3.79936497857006,3.79936497857006,4.02376597663892,3.79936497857006,32.6980297838001,0.0165516673054494,0.000141160927527695,0.00511249851921494,0.00127620433650222,0.884789993179651,0.0431735560565651,1,3.85028518902003,1
isogroup112440_g1,4.28258242772703,3.79936497857006,4.43692018665661,3.79936497857006,3.79936497857006,3.79936497857006,3.79936497857006,3.79936497857006,3.79936497857006,3.79936497857006,4.48013642501852,3.79936497857006,3.79936497857006,3.79936497857006,36.9479180200238,0.0468696075218531,0.000705641319208916,0.000238756535758694,3.86568248793573e-05,NA,NA,1,3.15141593523743,1
