gene,pval
isogroup100014_g1,-1.2680866085576
isogroup100015_g1,-0.167619291353135
isogroup100020_g1,-0.229101394422752
isogroup10002_g1,0.20592823100804
isogroup10003_g1,-0.0888780931998123
isogroup100040_g1,-0.508396189033406
isogroup100184_g1,-1.48664201321743
isogroup100251_g1,-1.23360217448319
isogroup100252_g1,-0.0476484679887283
isogroup100257_g1,1.074763483874
isogroup10025_g1,-0.208284512417606
isogroup100335_g1,0.481109808657008
isogroup10034_g1,-0.67368851188497
isogroup100397_g1,2.88645084940319
isogroup10040_g1,-0.595569151404845
isogroup100491_g1,-0.0858938971171646
isogroup100494_g1,3.23320651354655
isogroup100641_g1,0.236048132887331
isogroup100647_g1,-0.249216644504167
isogroup100699_g1,0.0878564605968762
isogroup100729_g1,-0.213289862245037
isogroup100733_g1,0.306573971128447
isogroup100757_g1,0.919041311833466
isogroup100770_g1,-1.01030777563323
isogroup100802_g1,0.141828791066733
isogroup100863_g1,0.115506944115427
isogroup100935_g1,0.822906819495786
isogroup100954_g1,-0.0104819265034901
isogroup100973_g1,0.0949612543521957
isogroup10100_g1,-0.829493500190842
isogroup101060_g1,-0.00430836226117567
isogroup10114_g1,-0.0681496463212959
isogroup101168_g1,-0.421197715496482
isogroup101245_g1,-0.223955916723918
isogroup101249_g1,-0.834744734494586
isogroup101357_g1,-1.44741155593333
isogroup10140_g1,-0.23929971105452
isogroup10144_g1,0.065284493132612
isogroup101450_g1,0.981926473457247
isogroup101647_g1,-0.372320662856526
isogroup10165_g1,-0.866768128287804
isogroup10170_g1,-0.347439236030982
isogroup10172_g1,0.14729073169612
isogroup101775_g1,0.460509402819718
isogroup101786_g1,0.268083099017821
isogroup10179_g1,0.000416370297852576
isogroup101810_g1,-0.527395815051143
isogroup101823_g1,1.20634466052221
isogroup101838_g1,1.03254507132071
isogroup101850_g1,-0.00704689755424138
isogroup10187_g1,2.45647351734724
isogroup101940_g1,-4.25733787874433
isogroup10218_g1,-0.742922237903717
isogroup102210_g1,-0.0586316206186332
isogroup102238_g1,-0.270996859253878
isogroup102262_g1,2.59548967216093
isogroup102359_g1,1.00952843298259
isogroup10251_g1,-0.0181466021221647
isogroup102615_g1,-0.0106755870883956
isogroup102660_g1,-0.428377192996885
isogroup10277_g1,0.0662840903413586
isogroup102804_g1,1.51138871217844
isogroup10280_g1,-0.653456666428334
isogroup102848_g1,-0.421584196167716
isogroup10287_g1,0.420359679071721
isogroup10299_g1,-0.182536970093115
isogroup103060_g1,-0.563415925068818
isogroup103105_g1,0.202357384211241
isogroup103125_g1,0.323584864362296
isogroup10312_g1,-0.0233199627013685
isogroup103199_g1,-0.420002956778995
isogroup103246_g1,-5.16925976785639
isogroup103269_g1,-0.22717229784584
isogroup103344_g1,0.17429128078378
isogroup10345_g1,-0.35003496634663
isogroup103535_g1,0.559229439387972
isogroup10358_g1,-0.128374515670618
isogroup103631_g1,-0.184435822854987
isogroup10368_g1,-0.853535197400469
isogroup103695_g1,-0.0638196245859919
isogroup10375_g1,-0.138018754799741
isogroup103809_g1,1.1633579204339
isogroup103836_g1,0.715436801561526
isogroup10387_g1,0.000702180326175091
isogroup104085_g1,0.527626250580184
isogroup10422_g1,0.0613266245884043
isogroup10428_g1,-0.22286787943566
isogroup104325_g1,1.32076027131179
isogroup104367_g1,0.465064978724034
isogroup10438_g1,-7.02364845562138
isogroup104421_g1,-0.0576136223215367
isogroup10455_g1,-0.795476570590453
isogroup104812_g1,-0.738335164323773
isogroup104897_g1,0.995957978855135
isogroup104920_g1,0.549021842559824
isogroup105015_g1,-1.27772156026695
isogroup105044_g1,0.116077460006622
isogroup105056_g1,-0.0709682174312691
isogroup10508_g1,0.127956559080652
isogroup105129_g1,0.677967031914862
isogroup105256_g1,0.0668891411181136
isogroup105293_g1,1.03523395785564
isogroup105384_g1,0.947048527828032
isogroup105416_g1,-0.0614562073703723
isogroup105468_g1,-0.0864352965775105
isogroup105484_g1,0.816567920410448
isogroup105560_g1,-0.144450643181185
isogroup10563_g1,-0.0883372841729103
isogroup105739_g1,-0.612315180690774
isogroup10576_g1,0.0779883082784476
isogroup10589_g2,0.322410398514296
isogroup10590_g1,-0.277139875549641
isogroup10593_g1,0.029636837736321
isogroup1059_g1,0.127123407080909
isogroup106077_g1,0.00915585607186164
isogroup10624_g1,-0.356546743661319
isogroup10628_g1,-0.116971856500602
isogroup106462_g1,0.494255381401563
isogroup10653_g1,0.320686882166558
isogroup10657_g1,0.407182854354835
isogroup106634_g1,-0.250728304381116
isogroup106793_g1,0.362654843565493
isogroup10687_g1,0.565190267100577
isogroup106984_g1,0.189459124951696
isogroup107176_g1,0.0501116502945298
isogroup10717_g1,0.134041323505261
isogroup10772_g1,-0.11181699373271
isogroup10778_g1,0.462768880239352
isogroup107798_g1,-0.424272831303708
isogroup10779_g1,0.320653705233299
isogroup107817_g1,-0.0408243162027003
isogroup10781_g1,0.337311992961165
isogroup10786_g1,0.155004649148819
isogroup1078_g1,0.156394899419992
isogroup10794_g1,0.000251844384530658
isogroup107992_g1,-0.0225448541159123
isogroup107993_g1,0.737156848407927
isogroup108009_g1,-0.269582534371389
isogroup10808_g1,0.0572506665523679
isogroup108094_g1,0.479219824310259
isogroup10815_g1,-0.0309620783903952
isogroup10836_g1,0.515181056369132
isogroup10850_g1,0.465595377388989
isogroup1086_g1,1.58245040957578
isogroup10873_g1,-0.839283559904362
isogroup10876_g1,-0.141660718472516
isogroup1087_g1,-0.463641133451389
isogroup10903_g1,0.103588057885684
isogroup10906_g1,1.19948797710871
isogroup10909_g1,-0.115308452730422
isogroup10919_g1,0.302298064261539
isogroup10922_g1,-0.11454835717713
isogroup10929_g1,0.028380265177929
isogroup10943_g1,0.688026080473375
isogroup10965_g1,-0.0895378303885588
isogroup10975_g1,-0.123060215795039
